drug,wells,pc1_variance,pc2_variance,pc1_ngenes3_r,pc2_ngenes3_r,top_pc1_metric,top_pc1_value,top_pc2_metric,top_pc2_value
DMSO,1480,0.03800048987925871,0.011813116116991316,3.4767128570803264e-12,-2.775384205722125e-12,percent_duplicated,0.6162447090659393,percent_duplicated,0.5683447393242683
Staurosporin,740,0.01836726123748102,0.012277450170615533,4.1915902086052205e-12,3.8532842010061244e-11,percent_mapped,-0.30099810302343954,percent_duplicated,0.32557184817801643
Brefeldin-A,740,0.019491108418702417,0.011344795294098379,2.8197278388373686e-12,-4.408287555848835e-12,percent_duplicated,0.6346896088788087,percent_duplicated,0.6781847114782698
Trichostatin-A,740,0.014688344016631846,0.007397427048244507,3.9927315651708274e-12,2.513458962674054e-12,percent_mapped,-0.5504362766121222,percent_duplicated,-0.6883463179516245
Rigosertib,740,0.022987499772514162,0.014146632108651696,2.270735772821501e-12,-1.6425485540255012e-12,percent_duplicated,0.7213461037996282,percent_rrna_removed,-0.38720742265344654
