group_id,kept_bit,kept_prevalence,n_features,max_distance_to_kept,mean_distance_to_kept,member_bits
1781,1841,36,1,0.0,0.0,1841
1558,1842,52,1,0.0,0.0,1842
1336,1843,72,1,0.0,0.0,1843
618,1844,197,1,0.0,0.0,1844
636,1845,189,1,0.0,0.0,1845
1559,1846,52,1,0.0,0.0,1846
458,1847,279,1,0.0,0.0,1847
426,1848,301,1,0.0,0.0,1848
402,1849,320,1,0.0,0.0,1849
807,1850,144,1,0.0,0.0,1850
792,1851,148,1,0.0,0.0,1851
326,1852,387,1,0.0,0.0,1852
515,1853,241,1,0.0,0.0,1853
278,1854,444,1,0.0,0.0,1854
16,1855,4264,1,0.0,0.0,1855
774,1856,151,1,0.0,0.0,1856
1719,1857,41,1,0.0,0.0,1857
650,1858,182,1,0.0,0.0,1858
1234,1859,83,1,0.0,0.0,1859
481,1860,258,1,0.0,0.0,1860
836,1861,137,1,0.0,0.0,1861
670,1862,177,1,0.0,0.0,1862
733,1863,162,1,0.0,0.0,1863
909,1864,124,1,0.0,0.0,1864
1096,1865,98,1,0.0,0.0,1865
50,1866,1846,1,0.0,0.0,1866
1145,1867,94,1,0.0,0.0,1867
1603,1868,49,1,0.0,0.0,1868
1707,1869,42,1,0.0,0.0,1869
2027,1870,11,1,0.0,0.0,1870
1799,1871,35,1,0.0,0.0,1871
1325,1872,73,1,0.0,0.0,1872
1939,1874,22,1,0.0,0.0,1874
1897,1875,26,1,0.0,0.0,1875
431,1876,296,1,0.0,0.0,1876
433,1877,294,1,0.0,0.0,1877
1922,1878,24,1,0.0,0.0,1878
293,1879,434,1,0.0,0.0,1879
1892,1880,27,1,0.0,0.0,1880
1635,1881,47,1,0.0,0.0,1881
1616,1882,48,1,0.0,0.0,1882
1222,1883,84,1,0.0,0.0,1883
575,1884,213,1,0.0,0.0,1884
1695,1885,43,1,0.0,0.0,1885
1573,1886,51,1,0.0,0.0,1886
242,1887,517,1,0.0,0.0,1887
501,1888,247,1,0.0,0.0,1888
1720,1889,41,1,0.0,0.0,1889
2000,1890,15,1,0.0,0.0,1890
1604,1891,49,1,0.0,0.0,1891
494,1892,250,1,0.0,0.0,1892
1459,1893,61,1,0.0,0.0,1893
1847,1894,32,1,0.0,0.0,1894
1395,1895,68,1,0.0,0.0,1895
1650,1896,46,1,0.0,0.0,1896
654,1897,181,1,0.0,0.0,1897
258,1898,481,1,0.0,0.0,1898
1574,1899,51,1,0.0,0.0,1899
1898,1900,26,1,0.0,0.0,1900
1665,1901,45,1,0.0,0.0,1901
1485,1902,58,1,0.0,0.0,1902
713,1903,166,1,0.0,0.0,1903
1258,1904,80,1,0.0,0.0,1904
178,1905,659,1,0.0,0.0,1905
1591,1906,50,1,0.0,0.0,1906
1708,1907,42,1,0.0,0.0,1907
1036,1908,105,1,0.0,0.0,1908
1271,1909,79,1,0.0,0.0,1909
152,1910,746,1,0.0,0.0,1910
143,1911,785,1,0.0,0.0,1911
396,1912,325,1,0.0,0.0,1912
2021,1913,12,1,0.0,0.0,1913
824,1914,140,1,0.0,0.0,1914
626,1915,194,1,0.0,0.0,1915
1782,1916,36,1,0.0,0.0,1916
1009,1918,110,1,0.0,0.0,1918
612,1919,199,1,0.0,0.0,1919
171,1920,681,1,0.0,0.0,1920
757,1921,154,1,0.0,0.0,1921
449,1922,284,1,0.0,0.0,1922
701,1923,169,1,0.0,0.0,1923
1899,1924,26,1,0.0,0.0,1924
411,1925,312,1,0.0,0.0,1925
1486,1927,58,1,0.0,0.0,1927
34,1928,2270,1,0.0,0.0,1928
738,1929,160,1,0.0,0.0,1929
283,1930,440,1,0.0,0.0,1930
1982,1931,17,1,0.0,0.0,1931
1272,1932,79,1,0.0,0.0,1932
1848,1933,32,1,0.0,0.0,1933
442,1934,288,1,0.0,0.0,1934
2001,1935,15,1,0.0,0.0,1935
1367,1936,70,1,0.0,0.0,1936
374,1937,346,1,0.0,0.0,1937
1177,1938,90,1,0.0,0.0,1938
606,1939,200,1,0.0,0.0,1939
487,1940,254,1,0.0,0.0,1940
1259,1941,80,1,0.0,0.0,1941
1547,1942,53,1,0.0,0.0,1942
1184,1943,89,1,0.0,0.0,1943
1124,1944,96,1,0.0,0.0,1944
1560,1945,52,1,0.0,0.0,1945
155,1946,727,1,0.0,0.0,1946
1833,1947,33,1,0.0,0.0,1947
241,1948,518,1,0.0,0.0,1948
527,1949,234,1,0.0,0.0,1949
